المصدر,الكود,اسم الصنف,الوحدة في قاعدة البيانات,الوحدة في ملف الجرد
مواد خام,11006002,عود بلاستيك تثبيت الجوان محلى,عدد,متر
مواد خام,11301001,لوح 0.5 مم SST مط مغلف 1.25 × 3 م,عدد,كيلوجرام
مواد خام,11301002,لوح 0.5 مم SST مط مغلف 1 × 2 م,عدد,كيلوجرام
مواد خام,11301008,لوح 1.2 مم SST مط مغلف 1 × 2 م,عدد,كيلوجرام
مواد خام,11301009,لوح 1.2 مم SST مط مغلف 1.25 × 2 م,عدد,كيلوجرام
مواد خام,11301013,لوح 1.5 مم SST مط مغلف 1.25 × 2.5 م,عدد,كيلوجرام
مواد خام,11301014,لوح 1.5 مم SST لميع مغلف 1.25 ×3 م,عدد,كيلوجرام
مواد خام,11301016,لوح 3 مم SST مط مغلف 1.25 × 2.5 م,عدد,كيلوجرام
مواد خام,11301017,لوح 3 مم SST مط مغلف 1.25 × 2 م,عدد,كيلوجرام
مواد خام,11301018,لوح 10مم SST مط مغلف 1.5 ×3 م,عدد,كيلوجرام
مواد خام,11301019,لوح 0.6 مم SST مصنفر مغلف 1.25 × 2.5 م,عدد,كيلوجرام
مواد خام,11301023,لوح 0.8 مم SST مصنفر مغلف 1.5 × 3 م,عدد,كيلوجرام
مواد خام,11301024,لوح 1 مم SST مصنفر مغلف 1 × 2 م,عدد,كيلوجرام
مواد خام,11301025,لوح 1 مم SST مصنفر مغلف 1.25 × 2.5 م,عدد,كيلوجرام
مواد خام,11301027,لوح 1.25 مم SST مصنفر مغلف 1.25 × 2.5 م,عدد,كيلوجرام
مواد خام,11301028,لوح 1.25 مم SST مصنفر مغلف 1.25 × 3 م,عدد,كيلوجرام
مواد خام,11301029,لوح 1.5 مم SST مصنفر مغلف 1 × 2 م,عدد,كيلوجرام
مواد خام,11301031,لوح 1.5 مم SST مصنفر 1.5 × 3.5 م,عدد,كيلوجرام
مواد خام,11301033,لوح 2 مم SST مصنفر مغلف 1.25 × 2.5 م,عدد,كيلوجرام
مواد خام,11301034,لوح 1.2 مم SST مصنفر مغلف 1.5 × 3 م,عدد,كيلوجرام
مواد خام,11301035,لوح 0.6 مم SST لميع مغلف 1.25 ×2.5 م,عدد,كيلوجرام
مواد خام,11301036,لوح 0.5 مم SST لميع مغلف 1.25 × 2.5 م( 201),عدد,كيلوجرام
مواد خام,11301037,لوح 0.6مم SST لميع مغناطيس مغلف 1.25× 2.5م (430),عدد,كيلوجرام
مواد خام,11301039,لوح 0.8 مم SST لميع مغلف 1.25 × 2.5م (304),عدد,كيلوجرام
مواد خام,11301040,لوح 0.8 مم SST لميع 1.22 × 2.44 (201),عدد,كيلوجرام
مواد خام,11301041,لوح 0.8 مم SST لميع 1.25 × 2.5 430),عدد,كيلوجرام
مواد خام,11301042,لوح 1 مم SST مصنفر مغلف 1.25 × 2 م(201),عدد,كيلوجرام
مواد خام,11301043,لوح 1.2 مم SST مصنفر مغلف 1.23 × 2.5 م(201),عدد,كيلوجرام
مواد خام,11301044,لوح 1.5 مم SST لميع مغلف 1.25 ×2.5 م (430),عدد,كيلوجرام
مواد خام,11301045,لوح 1.5 مم SST لميع 1 × 2.5 م (430),عدد,كيلوجرام
مواد خام,11301046,لوح 1.5 مم SST مصنفر مغلف 1.25 × 2 م (201),عدد,كيلوجرام
