legacyCode,title,mainCategoryLegacyCode,subCategoryLegacyCode,unit,unitCost,quantity
10101001,وحدة تبريد 8/5ح - R134 امريكى,01,01,count,628.6,2
10101002,وحدة تبريد 2/1ح - R134 - تكموسيد,01,01,count,0,3
10101003,وحدة تبريد 4/3 - R134 - تكموسيد,01,01,count,18720,2
10102001,كباس 1/ 3ح دانفوس R134,01,02,count,4025,2
10102002,كباس 1 حصان تيكموسي 404 R,01,02,count,,0
10102003,كباس 3/4 حصان دانفوس 143 R,01,02,count,,0
10102004,كباس 1/2 حصان دانفوس 134 R,01,02,count,,0
10102005,كباس 3/4 حصان دانفوس 404 R,01,02,count,,0
10102006,كباس 3/4 حصان دانفوس 134 R,01,02,count,,0
10102007,كباس 3 حصان,01,02,count,,0
10102008,كباس 1/2 حصان 404 R,01,02,,,0
10102009,كباس 2 1/4 حصان,01,02,,,0
10103001,"كويل 22ماسورة 37 سم ماسورة نحاس 8/3 """,01,03,count,140,22
10103002,كويل فريجابون XR 122,01,03,count,9800,2
10103003,كويل فريجابول EVB 20 بالسخان 6 مم 300وات فرنساوى,01,03,count,1470,1
10103004,كويل ايكو 135,01,03,count,,0
10103005,كويل ايكو 60,01,03,count,,0
10103006,كويل ايكو 154,01,03,count,,0
10103007,كويل ماركوا 2 مروحه,01,03,,,0
10103008,كويل سلونيت 3/8,01,03,,,0
10103009,كويل ايكو تركي مروحه,01,03,,,0
10103010,كويل ايكو 130,01,03,,,0
10103011,سخان كويل ايكو 130,01,03,,,0
10104001,مكثف 1/ 2ح فريجابون,01,04,count,185,3
10104002,مكثف 1ح مائى SS22,01,04,count,450,4
10104003,مكثف 1/ 4ح مستورد,01,04,count,75,6
10104004,مكثف مياه ST610 تايوانى,01,04,count,363.64,3
10104005,مكثف مياه DJ20 تايوانى,01,04,count,450,2
10104006,مكثف 1 حصان,01,04,count,,0
10104007,مكثف 3/4 حصان,01,04,count,,0
10104008,مكثف 1/2 حصان,01,04,count,,0
10104009,مكثف 3 حصان,01,04,,,0
10105001,مروحه كوندنسر 110فولت أمريكى,01,05,count,225,8
10105002,مروحه 30 سم,01,05,count,,0
10105003,مروحه 25 كامله,01,05,count,,0
10105004,مروحه 10 وات كامله,01,05,count,,0
10105005,مروحه 45 سم,01,05,,,0
10106001,شبكه مروحه كويل سلك محلى,01,06,count,13,75
10106002,"سلونيت دانفوس 2/1"" رباط 220 فولت",01,06,count,2633.9,1
10106003,فلتر رباط 2/1,01,06,count,0,1
10106004,ترموستات تجميد مياه رانكو,01,06,count,12,7
10106005,لوبرسرستات دانفوس KP1,01,06,count,95,3
10106006,لوبرسرستات دانفوس لزوم ماتورمياة,01,06,count,650,1
10106007,هاى ولوبرستات دانفوس HPH,01,06,count,130,2
10106008,تايمر ايطالى 5 طرف (مستعمل),01,06,count,0,1
10106009,ترموستات بالترمومتر و التايمر ديجيتال ديكسل XR60 ايطالى,01,06,count,750,6
10106010,ترمومتر ديجيتال 220فولت ايطالى,01,06,count,155,1
10106011,تايمر ليجراند 24 ساعة,01,06,count,1500,19
10106012,سخان حرف U هوائى 100سم 8مم 450 وات,01,06,count,115,3
10106013,اكسبنشن ابرة 1.5دانفوس,01,06,count,170,2
10106014,اكسبنشن بدون ابرة دانفوس R502,01,06,count,175,4
10106015,اكسبنشن ابرة دانفوس R12,01,06,count,0,2
10106016,لفه كابلرى 0.70 ايطالى,01,06,count,2,210
10106017,ميكروسوتش ثلاجة مستورد بالصامولة ايطالى,01,06,count,4,414
10106018,اسطوانه فريون R141,01,06,count,0,1
10106019,اسطوانه فريون R502,01,06,count,1000,3
10106020,لفة ماسورة نحاس 4/1,01,06,count,89.7,45
10106021,ريليه ثلاجة 3/1ح دانفوس,01,06,count,25,5
10106022,ريليه ثلاجه 1ح,01,06,count,25,5
10106023,مجموعة كباس 4/3 ح دانفوس R134,01,06,count,275,4
10106024,وصلة مرنة 8/7,01,06,count,1625,3
10106025,خزان 1 لتر تايوانى,01,06,count,155,1
10106026,وحدة تبريد 8متر - V220,01,06,count,0,1
10106027,وحدة تبريد 7متر - V220,01,06,count,0,1
10106028,ماتور مروحة تكالتب,01,06,count,1170,1
10106029,وصله لو بيشر ستات,01,06,count,,0
10106030,لفه كابلري 49.,01,06,count,,0
10106031,لفه نحاس 3/8,01,06,count,,0
10106032,خرطوم عازل اسود,01,06,count,,0
10106033,لفه مواسير نحاس 3/8,01,06,count,,0
10106034,ميكروسيتش بسلكه,01,06,count,,0
10106035,لفه كابلري 0.55,01,06,count,,0
10106036,لفه مواسير نحاس 5/16,01,06,count,,0
10106037,اسطوانه فريون 3 ك R404,01,06,count,,0
10106038,اسطوانه فريون 3ك R134,01,06,count,,0
10106039,اويل تراب 5/8 نحاس,01,06,count,,0
10106040,فريون 134 R,01,06,count,,0
10106041,ترموديسك 2 طرف,01,06,count,,0
10106042,سلونيت دانفوس 3/8,01,06,count,,0
10106043,اكسبنشن بوصله معدله,01,06,count,,0
10106044,خزان 6 لتر 3 حصان,01,06,count,,0
10106045,وصله مرنه 5/8,01,06,count,,0
10106046,لفه مواسير نحاس 1/2,01,06,count,,0
10106047,لفه مواسير نحاس 5/8,01,06,count,,0
10106048,وصله مرنه 8/13,01,06,count,,0
10106049,اسطوانه فريون 22 R,01,06,count,,0
10106050,لفه مواسير نحاس 7/8,01,06,,,0
10107001,بلف شحن نحاس,01,07,count,,0
10107002,زجاجه بيان 3/8,01,07,count,,0
10107003,ابره اكسجين,01,07,count,,0
10107004,كارته ميراكوا كاري,01,07,count,,0
10107005,كونتاكتور حسب الكباس,01,07,,,0
10107006,مكثف حسب الكباس,01,07,,,0
10201001,بلاطه مستديرة 2000وات قطر 19سم 220فولت المانى,02,01,count,80,35
10201002,بلاطه مربعه 30×30سم 3000وات 380فولت عادة,02,01,count,1400,35
10201003,3000وات 220فولت SST بلاطه مربعه تركى 30 30× 30 فريم,02,01,count,800,1
10201004,3000وات 380فولت SST بلاطه مربعه المانى 30 × 30 فريم س/س,02,01,count,10500,12
10201005,بلاطة مربعة 30×30سم 4000وات 380فولت المانى,02,01,count,0,8
10201006,بلاطة مستديرة قطر 18 سم 1.5ك المانى 1500وات,02,01,count,462,17
10201007,بلاطه مستديرة قطر 19سم 1500وات 220فولت المانى,02,01,count,125,12
10201008,4000وات 380فولت SST بلاطــه مربعه تركى 30 × 30 فريم,02,01,count,7149.99,1
10201009,بلاطة فرن بيتزا حرارى سيراميك ابعاد 91×61×3سم,02,01,count,735,1
10201010,بلاطة مستديرة قطر 22 سم 2600 380فولت المانى,02,01,count,21120,8
10201011,بلاطة مستديرة قطر 22 سم 2600 220فولت المانى,02,01,count,1150,6
10201012,بلاطة مربعة 30×30سم 3000وات 380فولت تركى بفريم س/س,02,01,count,7147.97,42
10201013,بلاطة مربعة 30×30سم 4500وات 380فولت بفريم س/س تركى,02,01,count,1050,17
10201014,بلاطة مستديرة قطر 22 سم 2000 220فولت المانى,02,01,,,0
10202001,هيتر 1 متر - 380 فولت,02,02,count,840,12
10202002,هيتر خط 70 - 1250فولت - 1200وات المانى,02,02,count,660,2
10202003,هيتر 8مم 150سم - 380فولت,02,02,count,0,7
10202004,هيتر 250 سم 2500 وات 8مم - 380 فولت المانى,02,02,count,590,6
10202005,هيتر 130سم س/س 440فولت,02,02,count,300,10
10202006,هيتر 2 متر 8مم - 220 فولت س/س - المانى,02,02,count,1170,49
10202007,هيتر 150سم - 220 فولت,02,02,count,720,15
10202008,هيتر 180سم 8 مم المانى,02,02,count,800,36
