legacyCode,title,mainCategoryLegacyCode,subCategoryLegacyCode,unitOfMeasurement,unitPrice,quantity
,زجاج سيكوريت 6مم أبيض بمريا 12.5×47سم,12,02,count,55.5,1
,زجاج باب اتوبيس بالكاوتش,12,02,count,0,2
,زجاج مسطح 5 خرم 10 مم مقاس 48 ×62 سم,12,02,count,46.9,1
,زجاج سيكوريت 6مم بمرايا وعلامة موج 107.5×47سم,12,02,count,55.4,1
,زجاج مصنفر 8مم مقاس 138×38سم 6 خرم,12,02,count,0,1
,زجاج سيكوريت 10مم ابيض شفاف مقاس 34.5 ×124.5 سم,12,02,count,48.75,1
,زجاج سيكوريت6مم ابيض بمرايا مقاس 47.5 ×202.5 سم,12,02,count,92,1
,زجاج سيكوريت6مم ابيض مسطح مقاس 141 ×34.5 سم,12,02,count,39.3,2
,زجاج سيكوريت8مم ابيض مقاس 40.5×187 سم,12,02,count,109,4
,زجاج سيكوريت8مم ابيض مقاس 95×14.5 سم,12,02,count,40,6
,زجاج بومبة 6 مم مقاس 147 ×45.5 سم,12,02,count,40,6
,زجاج سيكوريت 8مم مقاس 42 ×137 سم,12,02,count,60,4
,زجاج سيكوريت 4مم أبيض 77.4×52.9سم,12,02,count,15,2
,زجاج دبل جلاس 6/4شفاف مقاس 53 ×148 سم,12,02,count,70.5,7
,زجاج سيكوريت 6مم بومبية مقاس 67.5سم ×46.3سم,12,02,count,61.64,8
,زجاج سيكوريت 6مم بمرايا مقاس 142سم ×56سم,12,02,count,75.65,1
,زجاج سيكوريت 6مم بمرايا وعلامة مقاس 87سم ×31سم,12,02,count,84.9,2
,زجاج سيكوريت 10مم أبيض42.5×50سم,12,02,count,18,20
,زجاج سيكوريت 3مم أبيض شفاف 45.3×45.3سم,12,02,count,16,3
,زجاج سيكوريت 10مم أبيض 21×84سم,12,02,count,0,14
,زجاج سيكوريت 6مم أبيض 15×196سم,12,02,count,44.1,4
,زجاج سيكوريت 10مم 55.5×95.5سم,12,02,count,78.8,2
,زجاج سيكوريت 10مم أبيض 45×62.5سم,12,02,count,0,2
,زجاج سيكوريت 6مم بومبة80×46سم,12,02,count,73.6,28
,زجاج سيكوريت 6 مم بومبة 77×69سم,12,02,count,106,1
,زجاج سيكوريت 6 مم بومبة,12,02,count,61.65,16
,زجاج سيكوريت 6مم بومبة مقاس36×82.5سم,12,02,count,96,6
,زجاج سيكوريت 6مم بومبة مقاس3196×83.5سم,12,02,count,491,1
,زجاج سيكوريت 6مم مخرم 96×94سم,12,02,count,70.55,3
,زجاج سيكوريت 6مم أبيض 37×88.5 سم,12,02,count,23,1
,زجاج سيكوريت 6مم أبيض 165×31سم,12,02,count,45.8,1
,زجاج 6مم ابيض مقاس 83.5×46سم,12,02,count,96,2
,زجاج سيكوريت 6 مم أبيض 135×27سم,12,02,count,48.5,3
,زجاج سيكوريت 6 مم أبيض 44.8×39.3سم,12,02,count,20,13
,زجاج سيكوريت 10مم شفاف 95.5×57سم,12,02,count,79.5,2
,زجاج سيكوريت 6مم مخرم 30.5×41سم,12,02,count,150,1
,زجاج ابوب زانوسى 62.5 ×52 سم,12,02,count,35,2
,زجاج ابوب زانوسى 142 ×66 سم,12,02,count,70,6
,زجاج سيكوريت 6مم أبيض41.5×53.5سم,12,02,count,19.75,1
,زجاج سيكوريت 10مم أبيض187.5×42.2سم,12,02,count,128.25,8
,زجاج سيكوريت أبيض 33.7×77.5سم,12,02,count,17.3,2
,زجاج سيكوريت 10مم أبيض 28×37سم,12,02,count,10,2
,زجاج سيكوريت 10مم أبيض 25×146سم,12,02,count,13,1
,زجاج سيكوريت 10مم أبيض 39.5×149سم,12,02,count,91,1
,زجاج سيكوريت6مم أبيض36.7×63سم,12,02,count,28.5,2
,زجاج سيكوريت 6مم أبيض مسطح 22×53سم,12,02,count,20,11
,زجاج سيكوريت 8مم أبيض 187.5×50سم,12,02,count,80,2
,زجاج سيكوريت 6مم أبيض 56.5×31.5سم,12,02,count,16,2
,زجاج بومبة بللور 6مم مقاس 190 ×88 سم,12,02,count,536.5,3
,زجاج سيكوريت 6مم شفاف 87 ×39 سم,12,02,count,22.15,1
,زجاج سيكوريت 10مم فامية 84.5 × 21 سم,12,02,count,27,7
,زجاج سيكوريت 5مم ابيض 21 × 53سم,12,02,count,20,3
,زجاج سيكوريت 5مم 18 ×28.5 سم,12,02,count,25,4
,زجاج سيكوريت 10مم شفاف 21 ×53 سم,12,02,count,40,1
,زجاج سيكوريت 6مم شفاف مخرم 30 مم 47 ×97 سم,12,02,count,25,1
,زجاج ابيض بمرايا 6مم 4 خرم 67.5×30.5سم,12,02,count,25,1
,زجاج بومبية 6مم 90.5 × 113سم,12,02,count,25,2
,زجاج بومبية 6مم ابيض 83.5 ×146سم,12,02,count,25,2
,زجاج بومبية 6مم ابيض فريكول 62.5 ×187.5سم,12,02,count,25,1
,زجاج بومبية 6مم ابيض فريكول 83.3 ×186سم,12,02,count,25,1
,زجاج ابيض بمرايا وعلامة موج 6 مم×31 ×139 سم,12,02,count,25,1
,زجاج بومبية شفاف 4خرم 6 مم 46×67 سم,12,02,count,25,8
,زجاج بومبية شفاف 6 مم 46×67 سم,12,02,count,25,2
,زجاج بومبية شفاف 4 خرم 6 مم 46.5×67 سم,12,02,count,25,1
,زجاج ابيض شفاف 8 مم ×187.5 ×20 سم,12,02,count,30,4
,زجاج ابيض شفاف 8 مم ×142.8 ×47 سم,12,02,count,30,1
,زجاج ابيض شفاف 6 مم وعلامة موج 179.8 ×31 سم,12,02,count,25,1
,زجاج مشطوف 10 مم 95 ×13 سم,12,02,count,40,1
,زجاج ابيض شفاف 6 مم ×109 ×15 سم,12,02,count,25,1
,زجاج ابيض شفاف 8 مم ×100 ×50 سم,12,02,count,30,2
,زجاج ابيض شفاف 8 مم ×189 ×49 سم,12,02,count,30,1
,زجاج ابيض شفاف 8 مم ×143.5 ×25 سم,12,02,count,30,3
,زجاج ابيض مربعات 4 مم × 50 ×32.2,12,02,count,20,2
,زجاج ابيض شفاف 8 مم ×189 ×22 سم,12,02,count,30,3
,زجاج ابيض شفاف 8 مم ×170.1 ×35.3 سم,12,02,count,30,1
,زجاج ابيض شفاف 8 مم ×146×55 سم,12,02,count,30,4
,زجاج ابيض شفاف 8 مم ×195.8×55 سم,12,02,count,30,1
,زجاج ابيض شفاف 10 مم ×195.8×55 سم,12,02,count,0,7
,زجاج ابيض شفاف 10 مم ×44×30 سم,12,02,count,40,1
,زجاج بمرايا وعلامة موج 4 خرم 6 مم 66.5 ×31 سم,12,02,count,25,1
,زجاج بمرايا وعلامة موج مشطوف 6 مم 34 ×22 سم,12,02,count,25,2
,زجاج شفاف وعلامة موج 6 مم ×47.5 ×24.5 سم,12,02,count,25,1
,زجاج شفاف وعلامة موج 3 خرم ×48 ×21 سم,12,02,count,40,13
,زجاج شفاف 2خرم 10 مم ×55.5 ×49.5 سم,12,02,count,40,1
,زجاج بومبية شفاف 6 مم 10 مم 65.2 ×64.5 سم,12,02,count,25,1
,زجاج ابيض شفاف 5 مم 87 × 65 سم,12,02,count,0,10
,زجاج بومبية شفاف 6 مم 90 × 64.5 سم,12,02,count,25,2
,زجاج ابيض شفاف بخرم 3 مم 95 × 87 سم,12,02,count,25,2
,زجاج ابيض شفاف 6 مم مشطوف بخرم 5 مم 46 × 28 سم,12,02,count,25,4
,زجاج ابيض شفاف 4 خرم 5 مم 45.5 × 40 سم,12,02,count,20,2
,زجاج مخطط اسود بعلامة موج 5 مم 40.3 × 30.3 سم,12,02,count,25,1
,زجاج ابيض شفاف 6 مم مخرم 5 مم 53.5 × 41.5 سم,12,02,count,25,2
,زجاج ابيض شفاف 8 مم 65.3 × 54.5 سم,12,02,count,30,1
,زجاج ابيض شفاف 10 مم 53 × 23 سم,12,02,count,40,14
,زجاج ابيض شفاف 10 مم 95 × 61.6 سم,12,02,count,40,2
,زجاج بومبية شفاف 5 مم 124.5 × 75.2 سم,12,02,count,20,1
,زجاج ابيض شفاف 10 مم 99.3 × 23 سم,12,02,count,40,1
,زجاج ابيض شفاف 10 مم مخرم 61.5 × 31 سم,12,02,count,40,1
