title,skippedQuantity,skippedUnitCost,skippedUnit,skippedSourceFile,skippedSourceSheet,keptQuantity,keptUnitCost,keptUnit,keptSourceFile,keptSourceSheet
أمين مخزن عضو عضو,0,,,الإكسسوارات.xls,اكسسوار,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,الإكسسوارات.xls,اكسسوار,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,الإكسسوارات.xls,اكسسوار,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,الإكسسوارات.xls,اكسسوار,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,الإكسسوارات.xls,اكسسوار,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,الإكسسوارات.xls,اكسسوار,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,الإكسسوارات.xls,اكسسوار,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,الإكسسوارات.xls,اكسسوار,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,الإكسسوارات.xls,اكسسوار,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,الإكسسوارات.xls,اكسسوار,0,,,الأرتيلون والرخام.xls,الارتيلون
جريلة تهوية المونيوم 93×16.5,3,848.7,count,الإكسسوارات.xls,اكسسوار,6,848.71,count,الإكسسوارات.xls,اكسسوار
أمين مخزن عضو عضو,0,,,الإكسسوارات.xls,اكسسوار,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,الإكسسوارات.xls,اكسسوار,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,التبريد.xls,التبريد,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,التبريد.xls,التبريد,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,التبريد.xls,التبريد,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,التبريد.xls,التبريد,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,التبريد.xls,التبريد,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,التبريد.xls,التبريد,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,التثبيت.xls,التثبيت,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,التثبيت.xls,التثبيت,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,التثبيت.xls,التثبيت,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,التثبيت.xls,التثبيت,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,التثبيت.xls,التثبيت,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,التثبيت.xls,التثبيت,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,التثبيت.xls,التثبيت,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,التثبيت.xls,التثبيت,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,التثبيت.xls,التثبيت,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,التثبيت.xls,التثبيت,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,التثبيت.xls,التثبيت,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,التثبيت.xls,التثبيت,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,التثبيت.xls,التثبيت,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضاالدمرداش,0,,,التثبيت.xls,التثبيت,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,الدهانات.xls,الدهانات,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,الدهانات.xls,الدهانات,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرداش,0,,,الدهانات.xls,الدهانات,0,,,الدهانات.xls,الدهانات
أمين مخزن عضو عضو,0,,,الزجاج.xls,الزجاج,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,الزجاج.xls,الزجاج,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرادش,0,,,الزجاج.xls,الزجاج,0,,,الزجاج.xls,الزجاج
أمين مخزن عضو عضو,0,,,الزجاج.xls,الزجاج,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرادش,0,,,الزجاج.xls,الزجاج,0,,,الزجاج.xls,الزجاج
أمين مخزن عضو عضو,0,,,الزجاج.xls,الزجاج,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرادش,0,,,الزجاج.xls,الزجاج,0,,,الزجاج.xls,الزجاج
بوز حنفيه,3,0,count,السباكة.xls,السباكة,47,275,count,السباكة.xls,السباكة
أمين مخزن عضو عضو,0,,,السباكة.xls,السباكة,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرداش,0,,,السباكة.xls,السباكة,0,,,الدهانات.xls,الدهانات
أمين مخزن عضو عضو,0,,,السباكة.xls,السباكة,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرداش,0,,,السباكة.xls,السباكة,0,,,الدهانات.xls,الدهانات
أمين مخزن عضو عضو,0,,,السباكة.xls,السباكة,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرداش,0,,,السباكة.xls,السباكة,0,,,الدهانات.xls,الدهانات
