legacyCode,title,,subCategoryLegacyCode,unit
30101001,بانش مربع 20×20,,01,count
30101002,بانش مسدس 15مم ,,01,count
30101003,بانش 80×5مم,,01,count
30101004,بانش 27مم,,01,count
30101005,بانش 25مم مدور,,01,count
30101006,بانش قطر 5مم مدور,,01,count
30101007,بانش قطر 50مم,,01,count
30101008,بانش قطر 40مم مدور كامل,,01,count
30101009,بانش قطر 30مم مدور,,01,count
30101010, بانش قطر 20مم مدور,,01,count
30101011,بانش قطر 15مم مدور بالدليل,,01,count
30101012,بانش قطر 4مم مدور,,01,count
30101013,بانش قطر 3مم مدور,,01,count
30101014,بانش قطر 8مم مدور,,01,count
30101015,بانش 15مم مثلث,,01,count
30101016,بانش 20×5مم أبلونج,,01,count
30101017,بانش 5 ×5 مم مربع,,01,count
30101018,بانش قطر 6مم مدور,,01,count
30101019,بانش مربع 8 ×8,,01,count
30101020,بانش 20×4 مستطيل ,,01,count
30102001,داى 10×10مم خلوص 0.4مم,,02,count
30102002,داى 25مم مدور خلوص 0.4مم,,02,count
30102003,داى 5مم مدور خلوص 0.4مم,,02,count
30102004,داى 5مم مدور خلوص 0.2مم,,02,count
30102005,داى قطر 0.4مم خلوص 0.2مم,,02,count
30102006,داى 15×15مم خلوص 0.4مم,,02,count
30102007,داى 4مم خلوص 0.4مم,,02,count
30102008,داى 40مم مدور خلوص 0.4مم,,02,count
30102009,داى مدور 18مم خلوص 0.2مم,,02,count
30102010,داى مدور 18مم خلوص 0.4مم,,02,count
30102011,داى قطر 20×20مم خلوص 0.4مم,,02,count
30102012,داى 20×4 خلوص 0.4مم,,02,count
30102013,داى قطر 30×2 خلوص 0.2مم,,02,count
30102014,داى قطر 30مم خلوص 0.4مم,,02,count
30102015,داى 5×5مم خلوص 0.4مم ,,02,count
30102016,داى 20×5مم خلوص 0.2مم ,,02,count
30102017,داى 20×5مم خلوص 0.4مم أبلونج,,02,count
30102018,داى مدور 10مم خلوص 0.2مم,,02,count
30102019,داى قطر 20×8مم خلوص 0.2مم أبلونج,,02,count
30102020,داى قطر 8مم خلوص 0.2مم,,02,count
30102021,داى قطر 8مم خلوص 0.4مم,,02,count
30102022,داى قطر 8×8 خلوص 0.2 مم,,02,count
30102023,داى قطر 80×5مم خلوص 0.4مم,,02,count
30102024,داى 3مم خلوص 0.2مم,,02,count
30102025,داى مدور 3مم خلوص 0.4مم,,02,count
30102026,داى مسدس 15مم خلوص 0.2مم,,02,count
30102027,داى مستطيل 80×5مم خلوص 0.2مم,,02,count
30103001,دليل قطر 10مم,,03,count
30103002,دليل 5مم,,03,count
30103003,دليل 40×8مم,,03,count
30103004,استربر 8×8,,03,count
30103005,شاكوش بانش,,03,count
30103006,جلبه علويه للبانش,,03,count
30103007,صاموله بانش14×8 مم,,03,count
30103008,دليل بانش 80×5 مستطيل ,,03,count
30104001,مفتاح سويتش رقم 930600215,,04,count
30104002,صمام كهرباء 3/4 رقم 921200102,,04,count
30104003,صمام كامل بالكويل 1/4 92120020,,04,count
30104004,صمام عدم رجوع هواء,,04,count
30104005,صمام كهرباء 921201304,,04,count
30104006,صمام زيت كهرباء 931921100900,,04,count
30104007,قاعده صمام 994258,,04,count
30104008,طلمبه زيت هيدروليك  902600200,,04,count
30104009,عداد هواء 1 /4 2.5بار 92010033,,04,count
30104010,عداد هواء 12بار,,04,count
30104011,عداد ضغط بار,,04,count
30104012,عداد ضغط,,04,count
30104013,سخان خامات,,04,count
30104014,  جرس موديل :  C03  ,,04,count
30104015,حساس نتروجين 30600113,,04,count
30104016,حساس مقاومه حراريه PT100930100701,,04,count
30104017,مقاومه حراريه 93010011,,04,count
30104018,جهاز تحديد مستوى خامات التنك 930100104,,04,count
30104019,حساس مبين 930102402,,04,count
30104020,قياس ضغط 10بار 920100126,,04,count
30104021,مبين ضغط هواء 4 بار,,04,count
30104022,فلتر زيت هيدروليك 10بار 921001104,,04,count
30104023,سويتش ماكينه حقن,,04,count
30104024,مانوميتر مبين ضغط هواء 4 بار 920100307,,04,count
30104025,بلف ايزو بانش,,04,count
30105001,عامود نحاس ماكينه بناطه اتوماتيك,,05,count
30105002,أفيز نحاس بناطه أتوماتيك,,05,count
30105003,بكرة نحاس بناطه أتوماتيك,,05,count
30105004,تجهيز صباع نحاس بناطه أتوماتيك,,05,count
30105005,صامولة رباط صاروخ,,05,count
30105006,جنزير موتسكل ,,05,count
30105007, جنزير كانبة 581,,05,count
30105008,حجر كباية لزوم ماكينة البانش ,,05,count
30105009,نقطة مساعدة للدواسة ,,05,count
30105010, مفتاح صاروخ 5 بوصة اتوماتيك ,,05,count
