legacyCode,title,mainCategoryLegacyCode,subCategoryLegacyCode,unit,unitCost,quantity
30101001,بانش مربع 20×20,50,01,count,735,1
30101002,بانش مسدس 15مم,50,01,count,530,1
30101003,بانش 80×5مم,50,01,count,1440,1
30101004,بانش 27مم,50,01,count,250,1
30101005,بانش 25مم مدور,50,01,count,250,1
30101006,بانش قطر 5مم مدور,50,01,count,975,1
30101007,بانش قطر 50مم,50,01,count,0,1
30101008,بانش قطر 40مم مدور كامل,50,01,count,610,1
30101009,بانش قطر 30مم مدور,50,01,count,210,2
30101010,بانش قطر 20مم مدور,50,01,count,540,1
30101011,بانش قطر 15مم مدور بالدليل,50,01,count,610,1
30101012,بانش قطر 4مم مدور,50,01,count,0,2
30101013,بانش قطر 3مم مدور,50,01,count,200,2
30101014,بانش قطر 8مم مدور,50,01,count,2450,2
30101015,بانش 15مم مثلث,50,01,count,672,1
30101016,بانش 20×5مم أبلونج,50,01,count,1100,2
30101017,بانش 5 ×5 مم مربع,50,01,count,680,3
30101018,بانش قطر 6مم مدور,50,01,count,0,1
30101019,بانش مربع 8 ×8,50,01,count,680,1
30101020,بانش 20×4 مستطيل,50,01,count,460,1
30102001,داى 10×10مم خلوص 0.4مم,50,02,count,400,2
30102002,داى 25مم مدور خلوص 0.4مم,50,02,count,120,1
30102003,داى 5مم مدور خلوص 0.4مم,50,02,count,135,2
30102004,داى 5مم مدور خلوص 0.2مم,50,02,count,0,2
30102005,داى قطر 0.4مم خلوص 0.2مم,50,02,count,0,1
30102006,داى 15×15مم خلوص 0.4مم,50,02,count,555,0
30102007,داى 4مم خلوص 0.4مم,50,02,count,0,1
30102008,داى 40مم مدور خلوص 0.4مم,50,02,count,755,1
30102009,داى مدور 18مم خلوص 0.2مم,50,02,count,135,1
30102010,داى مدور 18مم خلوص 0.4مم,50,02,count,135,1
30102011,داى قطر 20×20مم خلوص 0.4مم,50,02,count,460,4
30102012,داى 20×4 خلوص 0.4مم,50,02,count,610,1
30102013,داى قطر 30×2 خلوص 0.2مم,50,02,count,0,1
30102014,داى قطر 30مم خلوص 0.4مم,50,02,count,135,2
30102015,داى 5×5مم خلوص 0.4مم,50,02,count,830,2
30102016,داى 20×5مم خلوص 0.2مم,50,02,count,0,5
30102017,داى 20×5مم خلوص 0.4مم أبلونج,50,02,count,400,3
30102018,داى مدور 10مم خلوص 0.2مم,50,02,count,135,2
30102019,داى قطر 20×8مم خلوص 0.2مم أبلونج,50,02,count,410,3
30102020,داى قطر 8مم خلوص 0.2مم,50,02,count,212.5,3
30102021,داى قطر 8مم خلوص 0.4مم,50,02,count,135,3
30102022,داى قطر 8×8 خلوص 0.2 مم,50,02,count,555,1
30102023,داى قطر 80×5مم خلوص 0.4مم,50,02,count,1660,1
30102024,داى 3مم خلوص 0.2مم,50,02,count,0,1
30102025,داى مدور 3مم خلوص 0.4مم,50,02,count,135,2
30102026,داى مسدس 15مم خلوص 0.2مم,50,02,count,400,1
30102027,داى مستطيل 80×5مم خلوص 0.2مم,50,02,count,1660,1
30103001,دليل قطر 10مم,50,03,count,0,1
30103002,دليل 5مم,50,03,count,0,1
30103003,دليل 40×8مم,50,03,count,0,1
30103004,استربر 8×8,50,03,count,440,1
30103005,شاكوش بانش,50,03,count,0,1
30103006,جلبه علويه للبانش,50,03,count,0,4
30103007,صاموله بانش14×8 مم,50,03,count,0,5
30103008,دليل بانش 80×5 مستطيل,50,03,count,690,1
30104001,مفتاح سويتش رقم 930600215,50,04,count,0,1
30104002,صمام كهرباء 3/4 رقم 921200102,50,04,count,0,1
30104003,صمام كامل بالكويل 1/4 92120020,50,04,count,0,1
30104004,صمام عدم رجوع هواء,50,04,count,0,1
30104005,صمام كهرباء 921201304,50,04,count,0,1
30104006,صمام زيت كهرباء 931921100900,50,04,count,0,1
30104007,قاعده صمام 994258,50,04,count,0,2
30104008,طلمبه زيت هيدروليك 902600200,50,04,count,0,1
30104009,عداد هواء 1 /4 2.5بار 92010033,50,04,count,0,1
30104010,عداد هواء 12بار,50,04,count,0,1
30104011,عداد ضغط بار,50,04,count,0,1
30104012,عداد ضغط,50,04,count,0,4
30104013,سخان خامات,50,04,count,0,2
30104014,جرس موديل : C03,50,04,count,0,1
30104015,حساس نتروجين 30600113,50,04,count,0,1
30104016,حساس مقاومه حراريه PT100930100701,50,04,count,0,1
30104017,مقاومه حراريه 93010011,50,04,count,0,1
30104018,جهاز تحديد مستوى خامات التنك 930100104,50,04,count,0,1
30104019,حساس مبين 930102402,50,04,count,0,2
30104020,قياس ضغط 10بار 920100126,50,04,count,0,1
30104021,مبين ضغط هواء 4 بار,50,04,count,0,1
30104022,فلتر زيت هيدروليك 10بار 921001104,50,04,count,0,1
30104023,سويتش ماكينه حقن,50,04,count,0,1
30104024,مانوميتر مبين ضغط هواء 4 بار 920100307,50,04,count,0,1
30104025,بلف ايزو بانش,50,04,count,350,1
30105001,عامود نحاس ماكينه بناطه اتوماتيك,50,05,count,0,2
30105002,أفيز نحاس بناطه أتوماتيك,50,05,count,0,1
30105003,بكرة نحاس بناطه أتوماتيك,50,05,count,0,4
30105004,تجهيز صباع نحاس بناطه أتوماتيك,50,05,count,0,1
30105005,صامولة رباط صاروخ,50,05,count,10,2
30105006,جنزير موتسكل,50,05,count,204.75,5
30105007,جنزير كانبة 581,50,05,count,291.5,10
30105008,حجر كباية لزوم ماكينة البانش,50,05,count,135,1
30105009,نقطة مساعدة للدواسة,50,05,count,24,1
30105010,مفتاح صاروخ 5 بوصة اتوماتيك,50,05,count,0,2
