الكود,اسم الصنف,الوحدة في قاعدة البيانات,الوحدة في الفواتير,المورد,آخر فاتورة
10106020,لفة ماسورة نحاس 4/1,متر,عدد,اسكيمو للهندسه، الفاروق,2461
10106040,فريون 1ك R134,عدد,كيلو,الفاروق,2437
10207003,كابل ترموبلاستيك 3×4مم سويدى,متر، لفة,عدد,نيو المصريه,108
10207005,كابل ترموبلاستيك 4×6مم سويدى,متر، لفة,عدد,االعصريه,929
10207013,سلك حرارى 1 مم ايطالى,متر، لفة,عدد,االعصريه، العصريه,1031
10207014,سلك حرارى 2 مم ايطالى,متر، لفة,عدد,االعصريه,929
10207015,سلك حرارى 4 مم ايطالى,متر، لفة,عدد,االعصريه، العصريه,1031
10209001,عود مكرونه حرارى 8 مم,متر، لفة,عدد,ايجل,10889
10209047,فلكسبل حرارى 25مم,متر، لفة,عدد,االعصريه,928
10209048,فلكيسيبل حرارى 32 مم ايطالى,متر، لفة,عدد,االعصريه,928
10308021,خرطوم غاز 8 مم 20 بار ايطالى,متر، لفة,عدد,المصطفي,4905
10501017,لفه جوان حراري احمر,متر، لفة,عدد,ايجل,10994
10801007,خشب شوايه فلندي 3/4 ×4,متر³,متر 2,اخشاب النعام,783
11009026,سلسلة حديد 4 مم,متر,متر 2,العزم,11515
11301010,لوح 1.2 مم SST مط مغلف 1.25 × 2.5 م,عدد، كيلوجرام، طن,(فارغ),المصريه لتشكيل المعادن,
11301012,لوح 1.5 مم SST مط مغلف 1 × 2 م,عدد، كيلوجرام، طن,(فارغ),,
11301021,لوح 0.8 مم SST مصنفر مغلف 1.25 ×2 م,عدد، كيلوجرام، طن,(فارغ),المصريه لتشكيل المعادن,
11301026,لوح 1.25 مم SST مصنفر مغلف 1 × 2 م,عدد، كيلوجرام، طن,(فارغ),المصريه لتشكيل المعادن,
11301030,لوح 1.5 مم SST مصنفر مغلف 1.25 × 2.5 م,عدد، كيلوجرام، طن,(فارغ),المصريه لتشكيل المعادن,
11301049,لوح 2 مم SST مصنفر مغلف 1.25 × 2 م,عدد، كيلوجرام، طن,(فارغ),المصريه لتشكيل المعادن,
11407006,لوح صاج 2 مم اسود - مقاس 1×2م,عدد، كيلوجرام، طن,(فارغ),الاسراء,705
11407012,شريحه صاج مقاسات محليه (Cop.),عدد,كيلو,الفاروق,2427
